2018-11-28 15:20:26,245 [main] INFO  c.g.e.m.h.c.ui.Html5AppCoreUIPlugin - Pluging started
2018-11-28 15:20:32,011 [Worker-3] INFO  o.e.m.c.i.i.nexus.NexusIndexManager - Updating index for repository: central|http://repo.maven.apache.org/maven2
2018-11-28 15:20:32,618 [Worker-3] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2018-11-28 15:24:14,735 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lava:lavaFAQ:0.0.1-SNAPSHOT @ E:\MyEclipseWorkSpace\bishe\lavaFAQ\pom.xml.
2018-11-28 15:24:22,371 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-28 15:24:22,405 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-28 15:24:42,197 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-28 15:24:42,200 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-28 15:26:43,375 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-28 15:26:43,410 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2018-11-28 15:26:43,418 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2018-11-28 15:26:43,423 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-28 15:26:43,424 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\MyEclipseWorkSpace\bishe\lavaFAQ\src\test\resources
2018-11-28 15:28:03,383 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.lava:lavaFAQ:0.0.1-SNAPSHOT @ E:\MyEclipseWorkSpace\bishe\lavaFAQ\pom.xml.
2018-11-28 15:28:05,794 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-28 15:28:05,800 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
2018-11-28 15:28:06,050 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.commons:commons-lang3:jar:3.4 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2018-11-28 15:28:06,053 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for com.oracle:ojdbc6:jar:11.2.0.1.0 is missing, no dependency information available
